iter	Passed	Remaining
0	28	57467
1	58	58420
2	87	57988
3	118	59378
4	156	62365
5	189	63011
6	223	63745
7	253	63023
8	283	62662
9	315	62685
10	351	63602
11	384	63748
12	426	65190
13	470	66690
14	501	66403
15	535	66359
16	572	66749
17	608	67014
18	643	67042
19	675	66827
20	708	66773
21	737	66328
22	773	66476
23	801	65963
24	829	65566
25	858	65208
26	893	65279
27	927	65308
28	954	64887
29	981	64473
30	1006	63956
31	1032	63474
32	1062	63302
33	1091	63115
34	1118	62792
35	1145	62485
36	1173	62280
37	1203	62160
38	1232	61997
39	1258	61676
40	1285	61409
41	1311	61145
42	1338	60898
43	1365	60724
44	1395	60634
45	1424	60503
46	1450	60281
47	1476	60032
48	1502	59843
49	1532	59781
50	1561	59670
51	1591	59606
52	1619	59484
53	1651	59501
54	1679	59378
55	1709	59355
56	1740	59318
57	1776	59471
58	1808	59508
59	1838	59457
60	1871	59487
61	1902	59460
62	1933	59446
63	1964	59440
64	1995	59408
65	2026	59370
66	2057	59354
67	2091	59420
68	2123	59425
69	2155	59421
70	2187	59420
71	2217	59377
72	2244	59252
73	2273	59173
74	2306	59195
75	2334	59111
76	2364	59054
77	2394	59007
78	2420	58867
79	2448	58766
80	2476	58681
81	2505	58611
82	2534	58536
83	2561	58425
84	2588	58327
85	2618	58271
86	2644	58141
87	2670	58033
88	2703	58058
89	2731	57974
90	2760	57906
91	2784	57746
92	2812	57675
93	2839	57578
94	2864	57445
95	2891	57355
96	2921	57318
97	2945	57167
98	2972	57070
99	2997	56956
100	3026	56900
101	3054	56844
102	3086	56844
103	3114	56787
104	3142	56716
105	3168	56619
106	3193	56502
107	3221	56443
108	3247	56340
109	3278	56337
110	3314	56404
111	3344	56385
112	3372	56319
113	3403	56314
114	3432	56265
115	3460	56199
116	3492	56213
117	3523	56189
118	3557	56228
119	3588	56212
120	3621	56241
121	3652	56225
122	3682	56188
123	3736	56523
124	3768	56532
125	3797	56483
126	3826	56440
127	3856	56404
128	3884	56346
129	3916	56335
130	3942	56242
131	3970	56185
132	3999	56137
133	4028	56099
134	4057	56055
135	4087	56019
136	4120	56026
137	4151	56008
138	4178	55937
139	4203	55848
140	4233	55822
141	4262	55775
142	4293	55749
143	4325	55750
144	4358	55753
145	4385	55692
146	4416	55673
147	4446	55641
148	4474	55590
149	4500	55508
150	4535	55536
151	4565	55506
152	4594	55467
153	4625	55442
154	4653	55392
155	4682	55344
156	4711	55304
157	4742	55291
158	4776	55301
159	4809	55314
160	4840	55294
161	4872	55276
162	4903	55259
163	4934	55239
164	4969	55268
165	4998	55220
166	5027	55183
167	5055	55129
168	5087	55117
169	5113	55042
170	5142	55002
171	5171	54960
172	5200	54916
173	5225	54841
174	5249	54747
175	5277	54697
176	5305	54645
177	5334	54599
178	5362	54554
179	5394	54545
180	5421	54482
181	5450	54448
182	5476	54379
183	5506	54344
184	5536	54318
185	5566	54284
186	5596	54254
187	5623	54204
188	5653	54169
189	5685	54158
190	5716	54146
191	5746	54109
192	5776	54084
193	5808	54074
194	5838	54040
195	5864	53981
196	5895	53960
197	5971	54350
198	6024	54523
199	6054	54492
200	6084	54453
201	6120	54481
202	6151	54451
203	6181	54420
204	6212	54393
205	6246	54397
206	6278	54380
207	6310	54365
208	6341	54343
209	6372	54321
210	6402	54286
211	6437	54294
212	6469	54273
213	6499	54241
214	6530	54219
215	6560	54182
216	6590	54155
217	6619	54110
218	6645	54043
219	6675	54014
220	6704	53972
221	6736	53949
222	6764	53904
223	6794	53870
224	6820	53803
225	6855	53812
226	6888	53799
227	6916	53755
228	6941	53686
229	6970	53646
230	7002	53621
231	7035	53616
232	7062	53560
233	7090	53514
234	7123	53504
235	7153	53467
236	7182	53426
237	7214	53414
238	7244	53377
239	7271	53327
240	7302	53301
241	7332	53267
242	7362	53232
243	7388	53176
244	7418	53141
245	7447	53100
246	7481	53099
247	7513	53081
248	7548	53080
249	7579	53055
250	7613	53049
251	7648	53054
252	7682	53050
253	7719	53061
254	7753	53060
255	7786	53043
256	7821	53047
257	7854	53034
258	7889	53032
259	7918	52995
260	7948	52962
261	7982	52954
262	8012	52919
263	8042	52885
264	8072	52855
265	8124	52960
266	8154	52924
267	8188	52922
268	8221	52902
269	8256	52904
270	8287	52876
271	8319	52853
272	8351	52832
273	8382	52803
274	8413	52773
275	8447	52763
276	8481	52756
277	8518	52767
278	8549	52736
279	8576	52685
280	8608	52659
281	8637	52620
282	8663	52562
283	8689	52501
284	8714	52437
285	8739	52373
286	8767	52329
287	8792	52268
288	8817	52205
289	8844	52151
290	8870	52093
291	8894	52026
292	8920	51971
293	8947	51917
294	8978	51891
295	9014	51894
296	9044	51858
297	9076	51836
298	9111	51833
299	9139	51791
300	9172	51773
301	9201	51735
302	9231	51700
303	9262	51676
304	9295	51656
305	9325	51624
306	9355	51591
307	9389	51581
308	9418	51542
309	9445	51494
310	9469	51425
311	9495	51375
312	9528	51357
313	9558	51323
314	9588	51290
315	9617	51253
316	9644	51205
317	9671	51157
318	9701	51120
319	9734	51107
320	9765	51077
321	9796	51051
322	9828	51029
323	9856	50984
324	9883	50940
325	9909	50885
326	9940	50858
327	9970	50826
328	10003	50807
329	10035	50783
330	10060	50727
331	10089	50689
332	10116	50644
333	10146	50612
334	10176	50580
335	10212	50577
336	10239	50530
337	10269	50495
338	10294	50442
339	10323	50404
340	10356	50383
341	10385	50348
342	10418	50331
343	10449	50305
344	10481	50280
345	10512	50252
346	10540	50213
347	10569	50176
348	10605	50169
349	10636	50144
350	10672	50139
351	10706	50123
352	10735	50090
353	10767	50065
354	10799	50041
355	10831	50021
356	10867	50014
357	10895	49974
358	10924	49936
359	10952	49896
360	10977	49841
361	11005	49797
362	11033	49758
363	11061	49716
364	11089	49676
365	11120	49649
366	11148	49606
367	11173	49550
368	11199	49501
369	11229	49470
370	11257	49430
371	11293	49422
372	11319	49373
373	11350	49345
374	11379	49312
375	11408	49275
376	11438	49243
377	11467	49207
378	11493	49158
379	11522	49122
380	11550	49081
381	11582	49059
382	11613	49029
383	11651	49035
384	11711	49125
385	11750	49131
386	11786	49124
387	11819	49104
388	11850	49078
389	11876	49030
390	11906	48997
391	11939	48977
392	11970	48949
393	12001	48919
394	12034	48900
395	12098	49003
396	12129	48974
397	12159	48944
398	12188	48908
399	12217	48868
400	12246	48832
401	12275	48797
402	12304	48761
403	12334	48728
404	12368	48712
405	12402	48694
406	12428	48646
407	12455	48602
408	12482	48557
409	12508	48507
410	12531	48449
411	12553	48384
412	12578	48333
413	12604	48287
414	12631	48241
415	12655	48189
416	12683	48149
417	12707	48094
418	12732	48043
419	12758	47996
420	12786	47956
421	12811	47906
422	12837	47859
423	12863	47812
424	12888	47764
425	12915	47720
426	12940	47669
427	12964	47616
428	12989	47568
429	13015	47520
